Name,State,Sweep ID,Sweep Label,Model,Repeated,Num Repeats,Rep Budget,Direction,OT Multiplier,Eval Loss,Train Loss (last),Train Loss (avg),Global Step,Epoch,Tokens Seen,Unique Tokens,Train Tok/s,Learning Rate,Duration,Finished,Created,W&B Link
lively-sweep-1,finished,apj92xvb,"93M nr=[1,3,13,51,193,719,2682,10000]",93M,non-repeated,1,10%,top,1,3.674480438232422,3.6739,4.354534844392001,5284,1,1861362720,186136272.0,52939.544,1.3154187606458788e-08,10h 13m,56d 22h ago,2026-03-01T09:31:53Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/1ui118v5
fallen-sweep-1,finished,20mrz98t,"93M nr=[1,3,13,51,193,719,2682,10000]",93M,non-repeated,1,10%,top,1,3.6734678745269775,3.6729,4.35436370136339,5284,1,1861362720,186136272.0,52886.413,1.3154187606458788e-08,10h 6m,56d 7h ago,2026-03-01T23:52:22Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/s3dt7u96
still-sweep-2,finished,20mrz98t,"93M nr=[1,3,13,51,193,719,2682,10000]",93M,repeated,3,10%,top,1,3.6745641231536865,3.6665,4.352667556710706,5283,1,1861382743,62046091.43333334,52975.664,1.0659944404516173e-08,10h 6m,56d 7h ago,2026-03-01T23:54:46Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/horc0tgt
swift-sweep-5,finished,20mrz98t,"93M nr=[1,3,13,51,193,719,2682,10000]",93M,repeated,193,10%,top,1,3.77472186088562,3.4246,4.208666612232974,5287,1,1861637509,964579.0202072539,52393.698,2.2209484856055363e-08,10h 19m,56d 7h ago,2026-03-01T23:58:20Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/vs9gumvf
rose-sweep-3,finished,apj92xvb,"93M nr=[1,3,13,51,193,719,2682,10000]",93M,repeated,13,10%,top,1,3.6802115440368657,3.6657,4.348355244867729,5280,1,1861395104,14318423.876923077,53192.348,4.7422504597681824e-09,10h 15m,56d 7h ago,2026-03-02T00:03:29Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/xaqinobu
unique-sweep-6,finished,20mrz98t,"93M nr=[1,3,13,51,193,719,2682,10000]",93M,repeated,719,10%,top,1,3.769562959671021,3.3882,4.1378951872542915,5276,1,1861495594,258900.63894297637,53280.845,5.279168639394582e-10,10h 11m,56d 7h ago,2026-03-02T00:03:58Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/6h2y0r09
charmed-sweep-7,finished,20mrz98t,"93M nr=[1,3,13,51,193,719,2682,10000]",93M,repeated,2682,10%,top,1,3.7298104763031006,3.3505,4.078721048257383,5270,1,1861717038,69415.25123042506,53101.102,5.8312149299543174e-08,10h 14m,56d 7h ago,2026-03-02T00:06:13Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/rx8zortb
icy-sweep-8,finished,20mrz98t,"93M nr=[1,3,13,51,193,719,2682,10000]",93M,repeated,10000,10%,top,1,3.7090494632720943,3.3088,4.008775986951685,5268,1,1876660091,18766.60091,53248.794,4.77794783906105e-08,10h 34m,56d 6h ago,2026-03-02T00:13:33Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/u0643fut
jumping-sweep-9,finished,20mrz98t,"93M nr=[1,3,13,51,193,719,2682,10000]",93M,non-repeated,1,10%,bot,1,3.673127412796021,3.671,4.352340363138149,5282,1,1861373403,186137340.3,53205.705,8.42666624317841e-09,10h 27m,56d 7h ago,2026-03-02T00:15:42Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/xp5pqprg
dry-sweep-10,finished,20mrz98t,"93M nr=[1,3,13,51,193,719,2682,10000]",93M,repeated,3,10%,bot,1,3.6729576587677,3.6647,4.351309657142001,5282,1,1861370121,62045670.70000001,52986.279,8.42666624317841e-09,10h 14m,55d 21h ago,2026-03-02T10:01:09Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/ft5jewzr
